"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000026025",6125,5987,6472,10347,9719,8817,7921,6408
"ENSG00000026036",262,187,231,71,97,86,70,209
"ENSG00000026103",574,681,625,912,889,860,859,636
"ENSG00000026297",1447,1222,1382,3672,3731,3397,3149,1342
"ENSG00000026508",1778,1729,1828,7356,7498,7238,6989,1751
"ENSG00000026559",71,68,72,62,70,68,66,96
"ENSG00000026652",128,125,131,661,809,678,701,171
"ENSG00000026751",533,558,615,821,775,791,745,450
"ENSG00000026950",1364,1300,1329,3867,3822,3905,3614,1310
"ENSG00000027001",319,354,338,136,137,111,142,528
"ENSG00000027075",1035,1204,1251,3543,3949,3813,3888,1045
"ENSG00000027644",1,0,1,18,15,28,14,1
"ENSG00000027697",5283,5658,5524,2756,2643,2854,2622,5431
"ENSG00000027847",398,324,405,174,143,195,169,423
"ENSG00000027869",60,45,50,56,78,68,65,31
"ENSG00000028116",539,590,553,402,422,431,433,491
"ENSG00000028137",1656,1459,1705,3086,2840,2588,2562,1578
"ENSG00000028203",1520,1678,1570,850,764,822,816,1633
"ENSG00000028277",81,39,89,299,446,283,259,79
"ENSG00000028310",975,975,1054,628,700,608,645,935
"ENSG00000028528",2178,2383,2156,2320,1606,1586,1795,2023
"ENSG00000028839",551,585,533,614,620,572,621,556
"ENSG00000029153",425,362,343,158,150,160,97,285
"ENSG00000029363",6050,6842,6110,5577,6170,6223,5840,5848
"ENSG00000029364",4863,4670,4969,1366,1345,1456,1316,4596
"ENSG00000029534",44,54,51,675,699,737,756,38
"ENSG00000029559",0,3,0,7,4,3,7,0
"ENSG00000029639",338,302,317,289,285,259,288,242
"ENSG00000029725",2231,2136,2245,1576,1446,1484,1377,2173
"ENSG00000029993",898,999,872,87,55,64,60,877
"ENSG00000030066",778,661,616,684,650,661,706,706
"ENSG00000030110",1464,1220,1506,346,341,317,331,1562
"ENSG00000030304",209,120,203,34,26,43,33,155
"ENSG00000030419",222,250,196,1538,1688,1761,1711,215
