"","x"
"762","ENSG00000227507"
"763","ENSG00000151948"
"764","ENSG00000123146"
"765","ENSG00000215883"
"766","ENSG00000005059"
"767","ENSG00000083168"
"768","ENSG00000225217"
"769","ENSG00000196562"
"770","ENSG00000227191"
"771","ENSG00000204010"
"772","ENSG00000001167"
"773","ENSG00000012779"
"774","ENSG00000197548"
"775","ENSG00000170417"
"776","ENSG00000137441"
"777","ENSG00000250361"
"778","ENSG00000211829"
"779","ENSG00000284056"
"780","ENSG00000113269"
"781","ENSG00000173626"
"782","ENSG00000102921"
"783","ENSG00000127528"
"784","ENSG00000103522"
"785","ENSG00000198945"
"786","ENSG00000100523"
"787","ENSG00000169087"
"788","ENSG00000072858"
"789","ENSG00000197329"
"790","ENSG00000087253"
"791","ENSG00000118564"
"792","ENSG00000164327"
"793","ENSG00000135164"
"794","ENSG00000136573"
"795","ENSG00000163625"
"796","ENSG00000184611"
"797","ENSG00000140577"
"798","ENSG00000159399"
"799","ENSG00000155966"
"800","ENSG00000205809"
"801","ENSG00000161040"
"802","ENSG00000140443"
"803","ENSG00000169208"
"804","ENSG00000149212"
"805","ENSG00000111801"
"806","ENSG00000221944"
"807","ENSG00000153064"
"808","ENSG00000124406"
"809","ENSG00000104660"
"810","ENSG00000182923"
"811","ENSG00000260078"
"812","ENSG00000163823"
"813","ENSG00000114439"
"814","ENSG00000128284"
"815","ENSG00000158710"
"816","ENSG00000121316"
"817","ENSG00000283787"
"818","ENSG00000140105"
"819","ENSG00000069869"
"820","ENSG00000108932"
"821","ENSG00000171681"
"822","ENSG00000184922"
"823","ENSG00000143702"
"824","ENSG00000004897"
"825","ENSG00000271503"
"826","ENSG00000274233"
"827","ENSG00000114166"
"828","ENSG00000120071"
"829","ENSG00000182568"
"830","ENSG00000206452"
"831","ENSG00000167984"
"832","ENSG00000275404"
"833","ENSG00000278355"
"834","ENSG00000141526"
"835","ENSG00000142512"
"836","ENSG00000185947"
"837","ENSG00000056558"
"838","ENSG00000073614"
"839","ENSG00000213809"
"840","ENSG00000069943"
"841","ENSG00000181126"
"842","ENSG00000126883"
"843","ENSG00000235750"
"844","ENSG00000159339"
"845","ENSG00000280908"
"846","ENSG00000104164"
"847","ENSG00000105514"
"848","ENSG00000065615"
"849","ENSG00000111860"
"850","ENSG00000081189"
"851","ENSG00000197442"
"852","ENSG00000183542"
"853","ENSG00000172116"
"854","ENSG00000183597"
"855","ENSG00000005810"
"856","ENSG00000175463"
"857","ENSG00000141337"
"858","ENSG00000133069"
"859","ENSG00000132182"
"860","ENSG00000175115"
"861","ENSG00000274914"
