"","Correlation","Gene"
"702",0.86100424624088,"AKR7A2"
"703",0.450160489695105,"MRTO4"
"705",0.983482084259591,"USE1"
"706",-0.0866161577008024,"MCF2L2"
"707",0.619841398285954,"NRIP2"
"708",0.649916929290287,"LAMA3"
"709",0.577874672309969,"AP5M1"
"710",0.615420863784912,"ANAPC4"
"711",0.618710100853215,"KCNQ1"
"712",0.70453314473848,"TRAPPC3"
"713",0.650802152393314,"THRAP3"
"714",0.652067293741287,"PHPT1"
"715",0.829633945960119,"ENTPD2"
"716",0.684275991854186,"LY75"
"717",0.878240741185894,"ARID4B"
"718",0.801743909771907,"OPN3"
"719",0.556849893562585,"SDCCAG8"
"720",-0.0475033582923485,"PTPRN"
"721",0.704562157876068,"HHAT"
"722",0.418068810323507,"KIF1B"
"723",0.348280884914192,"FOXC1"
"724",0.540116462158854,"TBC1D22A"
"725",0.524282503078653,"SYNE2"
"726",0.871171352638939,"PLEKHH1"
"727",0.851909688436346,"ATP9A"
"728",-0.0764719112901872,"SPO11"
"729",0.932594809587725,"CBLN4"
"730",0.268287755978548,"CHRDL2"
"731",0.40296704245269,"FAM168A"
"732",0.253721581317781,"RELT"
"733",0.856361868710805,"GALC"
"734",0.939733602195416,"NOP58"
"735",0.729147847526072,"SZRD1"
"736",-0.0106630655281779,"KCNH2"
"737",0.847194166437133,"CUL1"
"738",0.776794410861497,"FAM114A2"
"739",0.713702694276632,"CYFIP2"
"740",0.553510971034745,"TAB2"
"741",0.77683081880289,"GINM1"
"742",0.615260983214555,"EIF2AK2"
"743",0.0607580054712187,"USP36"
"744",0.660101981207554,"KMT2C"
"745",0.454645526641395,"MCOLN3"
"746",0.13921557981212,"CCDC85A"
"747",0.737991783816618,"PUM2"
"748",0.839292535485103,"MRPL43"
