"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000011478",126,101,146,59,71,87,51,338,147,248
"ENSG00000011485",830,684,806,350,353,289,345,1406,824,1787
"ENSG00000011523",1007,1096,1108,1135,1063,1073,1077,737,1010,756
"ENSG00000011566",1983,2318,1953,536,531,366,601,74,2182,940
"ENSG00000011590",35,49,35,39,68,38,31,64,37,10
"ENSG00000011600",219,212,252,1366,1318,1178,1069,43326,243,980
"ENSG00000011638",179,220,202,120,134,130,123,246,196,235
"ENSG00000011677",3,8,8,57,38,29,54,5,4,8
"ENSG00000012048",446,555,526,389,433,338,400,157,462,221
"ENSG00000012061",535,537,573,529,394,382,379,2420,593,937
"ENSG00000012124",80,89,122,506,551,514,511,2151,123,87
"ENSG00000012171",1166,1064,1282,40,49,51,42,98,1108,2593
"ENSG00000012174",383,420,369,194,196,226,236,136,436,590
"ENSG00000012211",168,152,148,110,89,86,126,443,150,188
"ENSG00000012223",28,35,25,315,269,353,233,2370,30,41
"ENSG00000012232",1007,1104,835,1837,1910,2011,1909,2234,714,580
"ENSG00000012504",1036,1001,876,85,28,86,117,11,1033,906
"ENSG00000012660",846,908,894,3114,3084,3212,2959,4457,863,1215
"ENSG00000012779",134,126,107,895,828,601,835,8552,141,233
"ENSG00000012817",3373,3477,3349,2467,2542,2254,2373,3241,3253,3699
"ENSG00000012822",2204,2208,2597,1450,1541,1442,1332,5555,2316,3834
"ENSG00000012963",523,556,526,198,150,201,133,535,446,682
"ENSG00000012983",1480,1466,1469,1297,1297,1313,1330,326,1675,1197
"ENSG00000013016",139,122,166,172,170,159,142,732,132,207
"ENSG00000013275",619,539,645,256,258,234,239,1675,643,1203
"ENSG00000013288",1023,875,922,705,713,595,570,4205,950,2248
"ENSG00000013293",227,249,189,329,322,244,304,93,220,36
"ENSG00000013297",77,82,93,81,88,75,55,37,89,63
"ENSG00000013306",1001,999,976,5552,5326,4570,4492,105371,929,3272
"ENSG00000013364",13659,12151,13957,2997,3114,2675,2845,17940,13549,18479
"ENSG00000013374",3032,3070,2856,1327,1305,1251,997,3197,3115,3258
"ENSG00000013375",1882,2083,2026,1081,1466,1000,1313,287,1800,1239
"ENSG00000013392",212,235,212,79,69,62,58,149,182,306
"ENSG00000013441",3737,4022,4088,3049,3063,3343,3378,4222,4018,5291
"ENSG00000013503",336,315,335,380,422,353,340,247,332,236
"ENSG00000013523",382,389,492,428,419,311,367,624,504,515
"ENSG00000013561",2454,2638,2520,1390,1375,1459,1502,855,2656,2651
"ENSG00000013563",673,546,643,314,364,265,267,2217,619,1153
"ENSG00000013573",804,684,717,315,360,444,302,1062,738,869
"ENSG00000013583",1338,1349,1339,139,134,146,122,1261,1311,10526
"ENSG00000013588",3081,3006,2963,340,357,280,348,126,3340,5742
"ENSG00000013619",41,38,37,35,45,20,32,26,16,43
"ENSG00000013725",760,657,731,894,780,900,895,3865,658,272
"ENSG00000013810",346,345,352,721,640,570,495,9968,244,945
"ENSG00000014123",2571,2752,2355,733,671,784,721,478,2514,2431
"ENSG00000014138",323,276,330,262,243,247,258,973,253,637
"ENSG00000014164",213,211,192,75,57,53,56,1287,216,1213
"ENSG00000014216",3355,3162,3261,916,954,901,1077,6888,3188,5565
"ENSG00000014257",66,79,71,1098,963,897,971,690,83,41
"ENSG00000014641",3520,3344,3496,724,728,839,723,2135,3405,6011
"ENSG00000014824",3558,3906,3752,1062,924,1034,918,505,3521,3365
"ENSG00000014914",2598,2522,2701,274,289,284,263,1414,2433,6344
"ENSG00000014919",1511,1643,1620,638,771,792,734,1541,1520,1793
"ENSG00000015133",1216,1080,1147,2790,2779,2538,2511,4513,1231,1093
"ENSG00000015153",1624,1806,1528,1272,1449,1334,1322,559,1588,872
"ENSG00000015171",2171,2496,2188,1035,915,963,1014,643,2160,2484
"ENSG00000015285",149,132,87,313,242,241,296,15500,110,396
"ENSG00000015413",9289,8526,9992,119,114,94,77,175,9150,19276
"ENSG00000015475",526,522,600,1321,1154,1009,1111,7643,573,655
"ENSG00000015479",9101,9716,9565,3717,3959,4054,4056,3213,9274,8424
"ENSG00000015520",2589,2388,2563,37,45,27,32,151,2512,12436
"ENSG00000015532",606,490,549,267,322,217,264,1022,505,504
"ENSG00000015568",2103,2363,2166,994,905,1213,942,54,2123,223
"ENSG00000015592",21,24,23,35,30,48,50,6,18,31
"ENSG00000015676",1774,2051,1819,1454,1481,1495,1465,2025,1817,1852
"ENSG00000016082",30,55,49,8,9,9,7,1,46,80
"ENSG00000016391",857,725,929,103,100,97,112,49,588,811
"ENSG00000016402",179,115,160,17,50,18,9,10,143,274
"ENSG00000016490",54530,53198,54546,696,745,733,708,545,51921,47129
"ENSG00000016602",8,3,2,18,20,24,18,25,3,19
"ENSG00000016864",827,835,951,485,402,474,367,1204,942,1479
"ENSG00000017260",1794,2051,2136,1214,1257,1489,1240,1138,1603,2039
"ENSG00000017427",356,557,437,106,99,55,130,22,368,237
